k,wcss
13,6432.28759766
14,6303.62353516
15,6204.58691406
16,6122.33300781
17,6050.80957031
18,5962.88769531
19,5860.28222656
20,5781.77001953
21,5700.01171875
22,5584.41601562
23,5531.51708984
24,5432.45605469
25,5333.18359375
26,5277.35595703
27,5144.91113281
28,5104.32812500
29,5014.52734375
30,4955.68652344
31,4871.54736328
32,4781.23095703
33,4682.42138672
34,4634.58251953
35,4508.79882812
36,4448.37695312
37,4363.56396484
38,4285.64648438
39,4197.71728516
40,4100.80126953
41,4047.36743164
42,3933.02685547
43,3891.46142578
44,3785.27954102
45,3725.67333984
46,3634.49438477
47,3564.00048828
48,3456.13867188
49,3406.01269531
50,3310.90332031
51,3228.29003906
52,3129.63354492
53,3060.33374023
54,2949.36889648
55,2892.11547852
56,2782.89550781
57,2698.81396484
58,2615.45849609
59,2515.22583008
60,2398.23779297
61,2295.00170898
62,2185.44799805
63,2083.27075195
64,1946.70507812
65,1831.47094727
66,1681.06176758
67,1557.15734863
68,1424.78857422
69,1286.41528320
70,1136.52270508
71,966.76843262
72,766.74450684
73,530.87030029
74,0.00000000
