k,wcss
13,10.80699062
14,10.62611389
15,10.44728088
16,10.23365402
17,10.08395386
18,9.99565983
19,9.81703281
20,9.58149338
21,9.54003811
22,9.35245037
23,9.18793678
24,9.07304668
25,8.85105991
26,8.73389435
27,8.69845772
28,8.51588154
29,8.39415550
30,8.25071430
31,8.16680527
32,7.98343134
33,7.87412262
34,7.66089296
35,7.60058880
36,7.41607523
37,7.29537535
38,7.17811632
39,7.03618956
40,6.94206285
41,6.71997452
42,6.63310862
43,6.44178772
44,6.34884930
45,6.18364763
46,6.07842064
47,5.83504057
48,5.75071430
49,5.67664337
50,5.47086859
51,5.38355494
52,5.04553652
53,5.00102472
54,4.90661335
55,4.75770426
56,4.63861704
57,4.38563395
58,4.22286224
59,4.07467222
60,3.88107920
61,3.69608426
62,3.51857066
63,3.31568480
64,3.14738321
65,2.94138312
66,2.75315666
67,2.53167772
68,2.29408646
69,2.04191017
70,1.77499115
71,1.49384189
72,1.17145586
73,0.73118156
74,0.00000000
