class_label,word,generated_wav,reference_wav,generated_mel,reference_mel,mcd
1,Hello!,label001_trial0017_pred_Hello.wav,audio1.wav,label001_trial0017_pred_mel.csv,audio1_logmel.csv,426.70367226907024
2,Yes!,label002_trial0015_pred_Yes.wav,audio2.wav,label002_trial0015_pred_mel.csv,audio2_logmel.csv,359.5729155142076
8,Up,label008_trial0003_pred_Up.wav,audio8.wav,label008_trial0032_pred_mel.csv,audio8_logmel.csv,414.02781473425324
8,Up,label008_trial0032_pred_Up.wav,audio8.wav,label008_trial0032_pred_mel.csv,audio8_logmel.csv,414.02781473425324
9,Down,label009_trial0000_pred_Down.wav,audio9.wav,label009_trial0000_pred_mel.csv,audio9_logmel.csv,418.117350419558
10,Left,label010_trial0026_pred_Left.wav,audio10.wav,label010_trial0026_pred_mel.csv,audio10_logmel.csv,328.94679150847065
11,Right,label011_trial0025_pred_Right.wav,audio11.wav,label011_trial0025_pred_mel.csv,audio11_logmel.csv,467.0357173173973
14,Head,label014_trial0006_pred_Head.wav,audio14.wav,label014_trial0006_pred_mel.csv,audio14_logmel.csv,367.4983126787738
15,Arm,label015_trial0029_pred_Arm.wav,audio15.wav,label015_trial0029_pred_mel.csv,audio15_logmel.csv,426.5593072591786
16,Arms,label016_trial0023_pred_Arms.wav,audio16.wav,label016_trial0023_pred_mel.csv,audio16_logmel.csv,389.21429586743557
17,Leg,label017_trial0013_pred_Leg.wav,audio17.wav,label017_trial0013_pred_mel.csv,audio17_logmel.csv,351.82226727371034
20,Hands,label020_trial0019_pred_Hands.wav,audio20.wav,label020_trial0031_pred_mel.csv,audio20_logmel.csv,396.77800185734543
20,Hands,label020_trial0031_pred_Hands.wav,audio20.wav,label020_trial0031_pred_mel.csv,audio20_logmel.csv,396.77800185734543
22,Feet,label022_trial0021_pred_Feet.wav,audio22.wav,label022_trial0021_pred_mel.csv,audio22_logmel.csv,425.037957837747
26,Three,label026_trial0001_pred_Three.wav,audio26.wav,label026_trial0010_pred_mel.csv,audio26_logmel.csv,396.0768193144654
26,Three,label026_trial0010_pred_Three.wav,audio26.wav,label026_trial0010_pred_mel.csv,audio26_logmel.csv,396.0768193144654
28,Five,label028_trial0002_pred_Five.wav,audio28.wav,label028_trial0002_pred_mel.csv,audio28_logmel.csv,406.20483488563264
29,Six,label029_trial0005_pred_Six.wav,audio29.wav,label029_trial0005_pred_mel.csv,audio29_logmel.csv,316.6232150811057
30,Seven,label030_trial0016_pred_Seven.wav,audio30.wav,label030_trial0016_pred_mel.csv,audio30_logmel.csv,406.57746029330815
36,Before,label036_trial0008_pred_Before.wav,audio36.wav,label036_trial0028_pred_mel.csv,audio36_logmel.csv,424.0670310796895
36,Before,label036_trial0028_pred_Before.wav,audio36.wav,label036_trial0028_pred_mel.csv,audio36_logmel.csv,424.0670310796895
37,Now.,label037_trial0014_pred_Now.wav,audio37.wav,label037_trial0014_pred_mel.csv,audio37_logmel.csv,472.41270923964305
41,Tomorrow,label041_trial0024_pred_Tomorrow.wav,audio41.wav,label041_trial0024_pred_mel.csv,audio41_logmel.csv,396.53728306072776
44,Bath,label044_trial0022_pred_Bath.wav,audio44.wav,label044_trial0022_pred_mel.csv,audio44_logmel.csv,429.1533049397848
46,Daughter,label046_trial0030_pred_Daughter.wav,audio46.wav,label046_trial0030_pred_mel.csv,audio46_logmel.csv,425.9676658507264
50,Nurse,label050_trial0011_pred_Nurse.wav,audio50.wav,label050_trial0011_pred_mel.csv,audio50_logmel.csv,397.73971735243526
58,Why?,label058_trial0004_pred_Why.wav,audio58.wav,label058_trial0004_pred_mel.csv,audio58_logmel.csv,441.844503534868
60,How?,label060_trial0012_pred_How.wav,audio60.wav,label060_trial0012_pred_mel.csv,audio60_logmel.csv,450.8896986967489
65,I can t,label065_trial0027_pred_I_can_t.wav,audio65.wav,label065_trial0027_pred_mel.csv,audio65_logmel.csv,368.70767198472674
68,Help!,label068_trial0007_pred_Help.wav,audio68.wav,label068_trial0007_pred_mel.csv,audio68_logmel.csv,523.0111707419277
70,Hot,label070_trial0018_pred_Hot.wav,audio70.wav,label070_trial0018_pred_mel.csv,audio70_logmel.csv,355.4612462905489
73,Ribbon,label073_trial0020_pred_Ribbon.wav,audio73.wav,label073_trial0020_pred_mel.csv,audio73_logmel.csv,385.12751030740526
74,Palm,label074_trial0009_pred_Palm.wav,audio74.wav,label074_trial0009_pred_mel.csv,audio74_logmel.csv,461.23928158973064
AVG,AVG,,,,,407.875915
