class,attempted_speech,imagined_speech,listening
class_1,2,4,1
class_2,2,2,3
class_3,3,4,2
class_4,2,4,1
class_5,3,3,1
class_6,2,3,3
class_7,2,4,3
class_8,3,4,2
class_9,2,4,2
class_10,2,3,1
class_11,3,5,2
class_12,3,5,2
class_13,2,3,1
class_14,2,2,2
class_15,2,3,2
class_16,2,3,3
class_17,3,4,1
class_18,3,3,3
class_19,2,3,2
class_20,2,4,2
class_21,3,4,2
class_22,3,4,1
class_23,3,3,2
class_24,2,4,0
class_25,3,4,1
class_26,3,2,1
class_27,3,4,3
class_28,3,3,3
class_29,2,3,1
class_30,3,3,3
class_31,2,2,1
class_32,2,3,1
class_33,2,3,1
class_34,2,3,2
class_35,2,3,1
class_36,2,2,1
class_37,2,3,2
class_38,2,2,2
class_39,2,2,1
class_40,2,3,1
class_41,2,2,2
class_42,2,2,1
class_43,2,3,2
class_44,2,3,0
class_45,2,3,0
class_46,2,3,0
class_47,2,3,1
class_48,2,2,2
class_49,2,3,1
class_50,2,2,2
class_51,2,2,2
class_52,2,3,2
class_53,2,2,2
class_54,2,3,1
class_55,2,3,2
class_56,2,3,1
class_57,2,3,1
class_58,2,2,2
class_59,2,2,1
class_60,2,3,2
class_61,2,2,1
class_62,2,3,0
class_63,2,3,1
class_64,2,3,0
class_65,2,2,2
class_66,2,3,2
class_67,2,3,1
class_68,2,3,2
class_69,2,2,1
class_70,2,3,2
class_71,2,3,1
class_72,2,2,2
class_73,2,3,1
class_74,2,2,2
