class,subject_15,subject_16,subject_17,subject_18,subject_19
class_1,0,6,5,4,7
class_2,6,6,7,7,7
class_3,5,6,7,8,9
class_4,0,7,7,7,7
class_5,0,6,7,8,7
class_6,0,6,8,8,8
class_7,0,7,6,8,9
class_8,0,8,6,8,9
class_9,0,6,7,6,8
class_10,0,7,7,9,6
class_11,7,5,6,6,10
class_12,0,7,5,5,10
class_13,5,8,8,8,6
class_14,0,9,5,6,6
class_15,6,6,9,5,7
class_16,5,6,8,7,8
class_17,0,5,6,8,8
class_18,7,6,6,5,9
class_19,0,6,6,8,7
class_20,0,7,7,7,8
class_21,0,5,7,6,9
class_22,4,7,7,8,8
class_23,5,6,6,7,8
class_24,7,9,7,7,6
class_25,0,5,5,5,8
class_26,0,5,8,6,6
class_27,8,8,7,6,10
class_28,0,7,9,5,9
class_29,6,5,7,6,6
class_30,0,8,7,7,9
class_31,5,8,4,9,5
class_32,0,10,8,8,6
class_33,0,10,7,7,6
class_34,0,7,6,6,7
class_35,0,9,7,7,6
class_36,6,7,7,6,5
class_37,0,8,3,8,7
class_38,0,7,7,5,6
class_39,6,5,7,7,5
class_40,0,6,6,6,6
class_41,0,9,8,9,6
class_42,6,5,7,7,5
class_43,0,9,9,7,7
class_44,6,6,6,6,5
class_45,0,7,7,7,5
class_46,0,6,5,8,5
class_47,0,6,6,5,6
class_48,6,6,9,6,6
class_49,6,7,7,9,6
class_50,4,7,5,5,6
class_51,0,5,5,7,6
class_52,5,6,8,6,7
class_53,6,6,9,6,6
class_54,5,9,5,7,6
class_55,5,5,6,7,7
class_56,0,6,7,9,6
class_57,4,5,8,8,6
class_58,0,6,6,7,6
class_59,5,9,8,5,5
class_60,0,6,5,6,7
class_61,0,6,6,9,5
class_62,0,5,7,6,5
class_63,0,6,6,5,6
class_64,6,5,7,8,5
class_65,0,6,5,6,6
class_66,0,9,7,6,7
class_67,0,5,8,5,6
class_68,0,7,7,6,7
class_69,0,6,8,5,5
class_70,0,7,9,7,7
class_71,6,8,5,7,6
class_72,6,9,6,7,6
class_73,6,7,8,7,6
class_74,5,7,7,6,6
