class,attempted_speech,imagined_speech,listening
class_1,2,2,1
class_2,2,3,1
class_3,2,4,0
class_4,3,3,0
class_5,2,3,1
class_6,2,4,1
class_7,2,3,2
class_8,3,4,1
class_9,2,2,1
class_10,2,4,1
class_11,2,3,0
class_12,2,2,1
class_13,2,3,1
class_14,2,2,1
class_15,2,3,1
class_16,2,3,1
class_17,2,4,1
class_18,3,2,1
class_19,2,3,1
class_20,3,3,1
class_21,2,3,0
class_22,3,4,1
class_23,2,4,1
class_24,2,3,1
class_25,2,2,1
class_26,2,1,2
class_27,2,3,1
class_28,2,2,1
class_29,2,3,1
class_30,2,3,1
class_31,3,4,1
class_32,3,4,1
class_33,2,2,2
class_34,2,3,1
class_35,3,3,1
class_36,2,3,1
class_37,2,4,2
class_38,2,3,1
class_39,2,4,1
class_40,2,2,1
class_41,3,3,2
class_42,2,3,1
class_43,2,3,1
class_44,2,2,1
class_45,2,3,1
class_46,3,3,1
class_47,2,2,0
class_48,2,3,1
class_49,3,4,1
class_50,2,1,0
class_51,3,3,1
class_52,2,3,2
class_53,2,2,0
class_54,2,3,1
class_55,2,3,1
class_56,3,4,1
class_57,3,4,0
class_58,2,3,1
class_59,2,2,1
class_60,2,3,1
class_61,3,4,1
class_62,2,3,1
class_63,2,3,1
class_64,3,3,1
class_65,2,2,1
class_66,2,3,1
class_67,2,2,1
class_68,2,2,1
class_69,2,3,1
class_70,2,3,2
class_71,2,4,0
class_72,2,3,1
class_73,2,4,1
class_74,2,3,2
