class,subject_15,subject_16,subject_17,subject_18,subject_19
class_1,0,6,5,5,7
class_2,5,4,6,6,6
class_3,5,5,6,6,9
class_4,0,6,7,6,7
class_5,0,5,6,6,7
class_6,0,6,7,7,6
class_7,0,6,5,7,7
class_8,0,7,5,8,8
class_9,0,5,6,5,7
class_10,0,5,6,7,7
class_11,6,5,6,5,10
class_12,0,6,5,5,10
class_13,5,6,7,6,6
class_14,0,7,4,5,6
class_15,5,6,9,6,7
class_16,4,6,6,6,6
class_17,0,4,4,7,8
class_18,5,5,6,6,8
class_19,0,5,5,6,6
class_20,0,7,5,7,7
class_21,0,6,6,5,9
class_22,4,6,5,8,8
class_23,4,5,6,7,6
class_24,5,9,6,6,7
class_25,0,5,5,5,8
class_26,0,6,7,5,5
class_27,7,6,6,6,9
class_28,0,6,8,5,7
class_29,6,5,6,6,6
class_30,0,7,7,6,8
class_31,4,6,5,8,4
class_32,0,9,7,8,6
class_33,0,9,7,6,6
class_34,0,7,6,6,6
class_35,0,8,6,7,6
class_36,5,7,6,6,5
class_37,0,8,3,8,6
class_38,0,7,7,6,5
class_39,5,5,7,7,5
class_40,0,5,5,5,5
class_41,0,7,8,8,4
class_42,5,5,7,6,5
class_43,0,9,8,6,6
class_44,5,6,6,5,6
class_45,0,5,6,6,6
class_46,0,6,6,7,5
class_47,0,5,7,4,6
class_48,5,5,9,6,5
class_49,5,6,8,8,6
class_50,4,7,5,3,4
class_51,0,5,4,7,5
class_52,5,6,7,7,6
class_53,5,5,8,4,4
class_54,5,8,5,6,5
class_55,5,6,7,6,6
class_56,0,6,7,8,5
class_57,4,5,8,7,6
class_58,0,5,4,6,5
class_59,4,7,6,5,5
class_60,0,7,5,6,6
class_61,0,6,5,8,4
class_62,0,7,8,6,6
class_63,0,6,6,6,6
class_64,6,6,6,7,6
class_65,0,6,5,5,5
class_66,0,8,6,6,6
class_67,0,5,7,5,6
class_68,0,7,5,5,6
class_69,0,6,7,6,5
class_70,0,6,8,7,6
class_71,5,7,5,6,6
class_72,5,9,7,6,4
class_73,5,6,7,7,6
class_74,5,5,6,7,5
