class,attempted_speech,imagined_speech,listening
class_1,9,9,2
class_2,9,9,1
class_3,9,9,2
class_4,6,6,2
class_5,6,6,1
class_6,9,9,2
class_7,6,6,1
class_8,12,12,2
class_9,9,9,1
class_10,12,12,1
class_11,3,3,2
class_12,3,3,2
class_13,12,12,1
class_14,2,2,3
class_15,3,3,2
class_16,3,3,2
class_17,3,3,2
class_18,2,2,3
class_19,2,2,2
class_20,3,3,2
class_21,2,2,2
class_22,3,3,1
class_23,3,3,2
class_24,2,2,3
class_25,3,3,1
class_26,4,4,1
class_27,2,2,1
class_28,3,3,1
class_29,4,4,1
class_30,5,5,2
class_31,3,3,3
class_32,4,4,2
class_33,3,3,1
class_34,4,4,2
class_35,3,3,2
class_36,4,4,2
class_37,3,3,2
class_38,3,3,2
class_39,4,4,1
class_40,4,4,2
class_41,3,3,0
class_42,4,4,2
class_43,1,1,2
class_44,4,4,1
class_45,4,4,1
class_46,3,3,0
class_47,4,4,2
class_48,3,3,0
class_49,3,3,3
class_50,5,5,0
class_51,3,3,0
class_52,2,2,1
class_53,4,4,1
class_54,5,5,2
class_55,3,3,2
class_56,2,2,1
class_57,4,4,1
class_58,5,5,1
class_59,4,4,3
class_60,3,3,2
class_61,2,2,1
class_62,3,3,1
class_63,3,3,2
class_64,2,2,2
class_65,4,4,1
class_66,1,1,3
class_67,5,5,0
class_68,2,2,2
class_69,1,1,1
class_70,4,4,1
class_71,5,5,1
class_72,2,2,1
class_73,3,3,2
class_74,3,3,1
