class,subject_15,subject_16,subject_17,subject_18,subject_19
class_1,0,19,13,13,19
class_2,18,12,19,19,14
class_3,18,18,19,18,20
class_4,0,19,19,18,19
class_5,0,13,19,19,19
class_6,0,19,18,19,19
class_7,0,19,13,20,19
class_8,0,19,13,19,19
class_9,0,18,19,13,19
class_10,0,18,19,19,20
class_11,19,13,19,18,20
class_12,0,19,13,13,20
class_13,18,18,18,19,19
class_14,0,18,7,13,14
class_15,18,14,19,19,20
class_16,12,19,19,19,19
class_17,0,12,12,19,19
class_18,18,13,19,13,20
class_19,0,13,13,19,19
class_20,0,20,18,19,19
class_21,0,14,19,18,20
class_22,12,13,18,19,19
class_23,12,13,14,19,18
class_24,18,20,19,19,19
class_25,0,13,13,13,19
class_26,0,19,18,8,12
class_27,20,18,19,19,20
class_28,0,19,20,13,19
class_29,14,13,18,19,19
class_30,0,19,19,19,20
class_31,12,18,13,19,12
class_32,0,19,19,19,19
class_33,0,19,20,14,19
class_34,0,20,19,19,19
class_35,0,19,19,19,19
class_36,18,19,19,19,13
class_37,0,20,6,20,19
class_38,0,20,19,19,13
class_39,18,13,19,19,13
class_40,0,13,13,13,18
class_41,0,19,18,20,12
class_42,18,13,19,19,13
class_43,0,19,19,19,19
class_44,18,19,14,13,19
class_45,0,18,19,19,19
class_46,0,19,19,19,18
class_47,0,13,19,12,19
class_48,13,13,20,19,13
class_49,18,19,20,19,19
class_50,12,19,13,6,12
class_51,0,18,12,19,13
class_52,13,14,20,20,19
class_53,18,13,19,12,12
class_54,13,19,13,19,18
class_55,18,14,20,19,19
class_56,0,19,20,19,18
class_57,12,13,19,18,19
class_58,0,13,12,19,13
class_59,12,18,19,13,13
class_60,0,19,13,19,19
class_61,0,19,13,19,12
class_62,0,20,19,19,19
class_63,0,19,19,19,19
class_64,19,19,19,19,19
class_65,0,19,13,13,13
class_66,0,19,19,19,19
class_67,0,13,19,13,19
class_68,0,19,18,13,19
class_69,0,14,19,19,13
class_70,0,19,19,20,19
class_71,18,20,13,18,19
class_72,18,19,20,19,12
class_73,13,19,20,19,19
class_74,18,18,19,20,13
