class,attempted_speech,imagined_speech,listening
class_1,9,9,1
class_2,9,9,0
class_3,9,9,2
class_4,9,9,0
class_5,9,9,1
class_6,6,6,1
class_7,9,9,2
class_8,6,6,0
class_9,6,6,1
class_10,9,9,1
class_11,9,9,3
class_12,6,6,2
class_13,6,6,0
class_14,9,9,1
class_15,9,9,1
class_16,9,9,1
class_17,9,9,1
class_18,6,6,2
class_19,9,9,1
class_20,6,6,1
class_21,6,6,2
class_22,9,9,0
class_23,6,6,2
class_24,9,9,0
class_25,6,6,0
class_26,6,6,1
class_27,9,9,1
class_28,9,9,1
class_29,9,9,1
class_30,6,6,2
class_31,9,9,0
class_32,0,0,0
class_33,0,0,0
class_34,0,0,0
class_35,0,0,0
class_36,0,0,0
class_37,0,0,0
class_38,0,0,0
class_39,0,0,0
class_40,0,0,0
class_41,0,0,0
class_42,0,0,0
class_43,0,0,0
class_44,0,0,0
class_45,0,0,0
class_46,0,0,0
class_47,0,0,0
class_48,0,0,0
class_49,0,0,0
class_50,0,0,0
class_51,0,0,0
class_52,0,0,0
class_53,0,0,0
class_54,0,0,0
class_55,0,0,0
class_56,0,0,0
class_57,0,0,0
class_58,0,0,0
class_59,0,0,0
class_60,0,0,0
class_61,0,0,0
class_62,0,0,0
class_63,0,0,0
class_64,0,0,0
class_65,0,0,0
class_66,0,0,0
class_67,0,0,0
class_68,0,0,0
class_69,0,0,0
class_70,0,0,0
class_71,0,0,0
class_72,0,0,0
class_73,0,0,0
class_74,0,0,0
