class,subject_15,subject_16,subject_17,subject_18,subject_19
class_1,19,20,13,14,8
class_2,18,19,14,19,18
class_3,20,14,19,14,21
class_4,18,20,20,20,19
class_5,19,14,19,19,20
class_6,13,18,20,20,19
class_7,20,19,19,13,19
class_8,12,21,6,20,20
class_9,13,21,19,19,20
class_10,19,20,19,19,7
class_11,21,18,14,20,20
class_12,14,14,20,20,20
class_13,12,20,19,19,20
class_14,19,14,19,21,14
class_15,19,19,14,14,19
class_16,19,14,19,20,21
class_17,19,19,19,20,19
class_18,14,20,20,21,21
class_19,19,19,20,20,14
class_20,13,20,8,20,18
class_21,14,20,20,20,13
class_22,18,20,14,19,19
class_23,14,6,19,14,20
class_24,18,14,20,21,20
class_25,12,19,18,19,12
class_26,13,14,13,13,19
class_27,19,19,19,13,20
class_28,19,14,20,13,20
class_29,19,20,13,19,21
class_30,14,14,21,20,19
class_31,18,20,19,15,18
class_32,0,20,20,20,13
class_33,0,18,19,19,20
class_34,0,14,20,20,14
class_35,0,20,20,20,13
class_36,0,20,8,20,21
class_37,0,20,13,20,19
class_38,0,19,21,14,20
class_39,0,20,19,13,19
class_40,0,7,21,20,13
class_41,0,19,19,18,19
class_42,0,19,21,20,21
class_43,0,20,21,20,18
class_44,0,19,13,13,18
class_45,0,20,20,19,13
class_46,0,18,13,18,14
class_47,0,12,20,20,13
class_48,0,20,19,18,21
class_49,0,20,20,21,20
class_50,0,21,14,18,20
class_51,0,19,18,18,13
class_52,0,19,20,19,21
class_53,0,14,20,19,19
class_54,0,20,20,20,20
class_55,0,20,19,20,18
class_56,0,19,19,13,19
class_57,0,20,18,13,19
class_58,0,19,14,19,12
class_59,0,18,19,21,20
class_60,0,13,19,20,13
class_61,0,20,20,13,19
class_62,0,13,20,13,13
class_63,0,19,20,14,20
class_64,0,20,20,14,21
class_65,0,14,21,19,19
class_66,0,7,20,21,20
class_67,0,20,19,18,19
class_68,0,20,13,14,14
class_69,0,2,21,13,14
class_70,0,19,12,19,20
class_71,0,20,21,19,21
class_72,0,19,19,19,19
class_73,0,19,19,20,21
class_74,0,20,12,19,19
