class,subject_18
class_1,20
class_2,19
class_3,20
class_4,14
class_5,13
class_6,20
class_7,13
class_8,26
class_9,19
class_10,25
class_11,8
class_12,8
class_13,25
class_14,7
class_15,8
class_16,8
class_17,8
class_18,7
class_19,6
class_20,8
class_21,6
class_22,7
class_23,8
class_24,7
class_25,7
class_26,9
class_27,5
class_28,7
class_29,9
class_30,12
class_31,9
class_32,10
class_33,7
class_34,10
class_35,8
class_36,10
class_37,8
class_38,8
class_39,9
class_40,10
class_41,6
class_42,10
class_43,4
class_44,9
class_45,9
class_46,6
class_47,10
class_48,6
class_49,9
class_50,10
class_51,6
class_52,5
class_53,9
class_54,12
class_55,8
class_56,5
class_57,9
class_58,11
class_59,11
class_60,8
class_61,5
class_62,7
class_63,8
class_64,6
class_65,9
class_66,5
class_67,10
class_68,6
class_69,3
class_70,9
class_71,11
class_72,5
class_73,8
class_74,7
