class,attempted_speech,imagined_speech,listening
class_1,6,6,2
class_2,9,9,1
class_3,6,6,2
class_4,9,9,2
class_5,9,9,1
class_6,9,9,2
class_7,6,6,1
class_8,9,9,2
class_9,9,9,1
class_10,9,9,1
class_11,9,9,2
class_12,9,9,2
class_13,9,9,1
class_14,9,9,3
class_15,6,6,2
class_16,9,9,2
class_17,9,9,2
class_18,9,9,3
class_19,9,9,2
class_20,9,9,2
class_21,9,9,2
class_22,9,9,1
class_23,6,6,2
class_24,9,9,3
class_25,9,9,1
class_26,6,6,1
class_27,6,6,1
class_28,6,6,1
class_29,9,9,1
class_30,9,9,2
class_31,6,6,3
class_32,9,9,2
class_33,9,9,1
class_34,9,9,2
class_35,9,9,2
class_36,9,9,2
class_37,9,9,2
class_38,6,6,2
class_39,6,6,1
class_40,9,9,2
class_41,9,9,0
class_42,9,9,2
class_43,9,9,2
class_44,6,6,1
class_45,9,9,1
class_46,9,9,0
class_47,9,9,2
class_48,9,9,0
class_49,9,9,3
class_50,9,9,0
class_51,9,9,0
class_52,9,9,1
class_53,9,9,1
class_54,9,9,2
class_55,9,9,2
class_56,6,6,1
class_57,6,6,1
class_58,9,9,1
class_59,9,9,3
class_60,9,9,2
class_61,6,6,1
class_62,6,6,1
class_63,6,6,2
class_64,6,6,2
class_65,9,9,1
class_66,9,9,3
class_67,9,9,0
class_68,6,6,2
class_69,6,6,1
class_70,9,9,1
class_71,9,9,1
class_72,9,9,1
class_73,9,9,2
class_74,9,9,1
