Set_ID,Word,Word_Length,Class_ID
Set_1,Leg,3,17
Set_1,Sure!,5,66
Set_1,Foot,4,21
Set_1,Times,5,33
Set_1,Daughter,8,46
Set_1,Ribbon,6,73
Set_1,Thank you,9,61
Set_1,Jam,3,53
Set_1,Before,6,36
Set_1,Love,4,45
Set_1,Hot,3,70
Set_1,Son,3,47
Set_1,Seven,5,30
Set_2,Light,5,12
Set_2,Joy,3,67
Set_2,Right,5,11
Set_2,Three,5,26
Set_2,Partner,7,48
Set_2,Tomorrow,8,41
Set_2,Music,5,51
Set_2,Zero,4,23
Set_2,Down,4,9
Set_2,Go on.,6,35
Set_2,Left,4,10
Set_2,Who?,4,59
Set_2,Help!,5,68
Set_3,Hands,5,20
Set_3,Nurse,5,50
Set_3,Shower,6,42
Set_3,Hello!,6,1
Set_3,Nine,4,32
Set_3,Tea,3,5
Set_3,Now.,4,37
Set_3,Why?,4,58
Set_3,When?,5,57
Set_3,Head,4,14
Set_3,Two,3,25
Set_3,Where?,6,56
Set_3,Quit,4,69
Set_4,Cold,4,71
Set_4,I can,5,64
Set_4,Dark,4,13
Set_4,Arms,4,16
Set_4,Wash,4,43
Set_4,No.,3,3
Set_4,Heart,5,19
Set_4,I can t,7,65
Set_4,Yes!,4,2
Set_4,I need,6,62
Set_4,Feet,4,22
Set_4,Up,2,8
Set_4,Today,5,40
Set_5,Legs,4,18
Set_5,Yesterday,9,39
Set_5,Five,4,28
Set_5,One,3,24
Set_5,Food,4,7
Set_5,After,5,38
Set_5,Eight,5,31
Set_5,Bath,4,44
Set_5,Six,3,29
Set_5,Assistant,9,49
Set_5,Drink,5,52
Set_5,Yellow,6,54
Set_5,Stop!,5,34
Set_6,Four,4,27
Set_6,Palm,4,74
Set_6,How?,4,60
Set_6,Arm,3,15
Set_6,I want,6,63
Set_6,What?,5,55
Set_6,Coffee,6,6
Set_6,Egg,3,72
Set_6,Water,5,4
Set_6,Daughter,8,46
Set_6,Assistant,9,49
Set_6,Tea,3,5
Set_6,Today,5,40
